movie_name,ranking,score,score_num
肖申克的救赎,1,9.7,9
霸王别姬,2,9.6,9
这个杀手不太冷,3,9.4,9
阿甘正传,4,9.4,9
美丽人生,5,9.5,9
千与千寻,6,9.3,9
泰坦尼克号,7,9.4,9
辛德勒的名单,8,9.5,9
盗梦空间,9,9.3,9
忠犬八公的故事,10,9.3,9
机器人总动员,11,9.3,9
三傻大闹宝莱坞,12,9.2,9
放牛班的春天,13,9.3,9
海上钢琴师,14,9.2,9
楚门的世界,15,9.2,9
大话西游之大圣娶亲,16,9.2,9
星际穿越,17,9.3,9
龙猫,18,9.2,9
熔炉,19,9.3,9
教父,20,9.3,9
无间道,21,9.2,9
疯狂动物城,22,9.2,9
当幸福来敲门,23,9.1,9
怦然心动,24,9.0,9
触不可及,25,9.2,9
蝙蝠侠：黑暗骑士,26,9.1,9
乱世佳人,27,9.3,9
活着,28,9.2,9
控方证人,29,9.6,9
少年派的奇幻漂流,30,9.0,9
指环王3：王者无敌,31,9.2,9
摔跤吧！爸爸,32,9.0,9
天空之城,33,9.1,9
鬼子来了,34,9.2,9
天堂电影院,35,9.2,9
十二怒汉,36,9.4,9
飞屋环游记,37,9.0,9
大话西游之月光宝盒,38,9.0,9
哈尔的移动城堡,39,9.0,9
搏击俱乐部,40,9.0,9
罗马假日,41,9.0,9
末代皇帝,42,9.2,9
寻梦环游记,43,9.0,9
闻香识女人,44,9.0,9
辩护人,45,9.2,9
素媛,46,9.2,9
窃听风暴,47,9.1,9
死亡诗社,48,9.0,9
两杆大烟枪,49,9.1,9
飞越疯人院,50,9.1,9
指环王2：双塔奇兵,51,9.0,9
教父2,52,9.2,9
指环王1：魔戒再现,53,9.0,9
狮子王,54,9.0,9
V字仇杀队,55,8.9,8
美丽心灵,56,9.0,9
饮食男女,57,9.1,9
海豚湾,58,9.3,9
情书,59,8.9,8
钢琴家,60,9.1,9
大闹天宫,61,9.3,9
本杰明·巴顿奇事,62,8.9,8
何以为家,63,9.1,9
哈利·波特与魔法石,64,8.9,8
看不见的客人,65,8.8,8
黑客帝国,66,8.9,8
西西里的美丽传说,67,8.8,8
小鞋子,68,9.2,9
美国往事,69,9.1,9
拯救大兵瑞恩,70,9.0,9
让子弹飞,71,8.8,8
音乐之声,72,9.0,9
致命魔术,73,8.8,8
七宗罪,74,8.8,8
猫鼠游戏,75,8.9,8
被嫌弃的松子的一生,76,8.9,8
低俗小说,77,8.8,8
沉默的羔羊,78,8.8,8
蝴蝶效应,79,8.8,8
春光乍泄,80,8.9,8
勇敢的心,81,8.9,8
天使爱美丽,82,8.7,8
穿条纹睡衣的男孩,83,9.0,9
剪刀手爱德华,84,8.7,8
心灵捕手,85,8.8,8
禁闭岛,86,8.8,8
布达佩斯大饭店,87,8.8,8
阿凡达,88,8.7,8
入殓师,89,8.8,8
幽灵公主,90,8.9,8
加勒比海盗,91,8.7,8
摩登时代,92,9.3,9
致命ID,93,8.7,8
断背山,94,8.7,8
阳光灿烂的日子,95,8.8,8
重庆森林,96,8.7,8
第六感,97,8.8,8
狩猎,98,9.1,9
喜剧之王,99,8.7,8
玛丽和马克思,100,8.9,8
消失的爱人,101,8.7,8
告白,102,8.7,8
大鱼,103,8.8,8
小森林 夏秋篇,104,9.0,9
一一,105,9.0,9
阳光姐妹淘,106,8.8,8
爱在黎明破晓前,107,8.8,8
